                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.50886,                 0.7964,                0.54796,                0.97108,                0.79731,                0.62597,                0.65604,                0.48199,                0.79731,                0.62597,                0.63697,                0.47503,                 1.0883,                 2.4192,                 1.4679,                 1.5033,              0.0010811,              0.0010811,              0.0010811
                     74,                0.55524,                0.79588,                0.59815,                 1.0038,                0.87106,                0.63636,                 0.6555,                0.47694,                0.87106,                0.63636,                0.65651,                 0.4641,                 1.0461,                 2.5891,                 1.4619,                 1.4967,              0.0010729,              0.0010729,              0.0010729
                     75,                0.56652,                 0.8814,                0.59779,                 0.9749,                0.97038,                0.61364,                0.65907,                0.45538,                0.97038,                0.61364,                0.66217,                0.45601,                 1.1259,                 2.6919,                 1.4405,                 1.6334,              0.0010646,              0.0010646,              0.0010646
                     76,                0.55506,                 0.7789,                0.56894,                0.97919,                0.89925,                0.60869,                0.67612,                0.47604,                0.89925,                0.60869,                0.65637,                0.46958,                 1.0837,                 2.6709,                 1.3792,                 1.6006,              0.0010564,              0.0010564,              0.0010564
                     77,                  0.533,                0.90111,                0.58012,                0.99258,                0.91859,                0.59091,                0.66029,                0.45144,                0.95428,                0.61364,                0.66964,                0.47016,                  1.112,                 2.6606,                 1.4559,                 1.6018,              0.0010481,              0.0010481,              0.0010481
                     78,                0.56712,                0.86151,                 0.5872,                 1.0195,                0.96522,                 0.6309,                0.64784,                0.43474,                0.96522,                 0.6309,                0.65195,                0.47949,                  1.208,                 2.7136,                 1.4916,                  1.656,              0.0010399,              0.0010399,              0.0010399
                     79,                0.53944,                0.89263,                0.57377,                0.98078,                0.80241,                0.59091,                0.59107,                0.42844,                0.93082,                0.61168,                0.67026,                0.47085,                 1.1651,                 2.5289,                 1.5513,                 1.5884,              0.0010316,              0.0010316,              0.0010316
                     80,                0.51506,                0.71765,                0.57278,                0.98247,                0.85566,                0.56818,                0.60281,                0.42524,                0.92464,                0.61364,                0.67647,                0.46052,                 1.2033,                 2.5106,                 1.4022,                 1.6605,              0.0010234,              0.0010234,              0.0010234
                     81,                0.53537,                0.85338,                0.56727,                0.95907,                0.89416,                0.61364,                0.64522,                0.43295,                0.90223,                0.62933,                0.67562,                0.46837,                 1.1884,                 2.5111,                 1.3939,                 1.6547,              0.0010151,              0.0010151,              0.0010151
                     82,                0.53566,                 0.8476,                0.52976,                0.99593,                0.84137,                0.59091,                0.62808,                0.39363,                0.87494,                0.61364,                0.66181,                0.43381,                 1.3121,                 2.5551,                 1.4465,                 1.7993,              0.0010069,              0.0010069,              0.0010069
                     83,                 0.5064,                0.80021,                0.53323,                0.97306,                0.85485,                0.56818,                0.59427,                  0.362,                0.88928,                0.59091,                0.58642,                0.35983,                 1.4534,                 3.0394,                  1.776,                 1.9539,             0.00099862,             0.00099862,             0.00099862
                     84,                0.55954,                0.74699,                0.60036,                 1.0176,                0.83832,                0.59091,                0.60989,                0.35967,                0.88989,                0.56818,                0.60283,                0.36053,                  1.429,                  2.726,                  1.798,                 1.9863,             0.00099036,             0.00099036,             0.00099036
                     85,                0.51161,                 0.7622,                0.54037,                0.97638,                0.89615,                0.61364,                0.62931,                0.37266,                0.89615,                0.61364,                0.63856,                0.39236,                 1.4333,                 2.4427,                 1.5993,                 2.0256,             0.00098211,             0.00098211,             0.00098211
                     86,                0.56459,                0.80692,                0.55319,                0.98364,                0.73492,                0.63022,                0.65325,                0.41552,                0.77288,                0.59091,                 0.6197,                0.44594,                 1.3005,                  2.052,                 1.4448,                 1.7851,             0.00097386,             0.00097386,             0.00097386
                     87,                0.53345,                0.84974,                0.57352,                0.98115,                0.71316,                0.54545,                0.60208,                0.40294,                 0.6734,                0.54545,                  0.593,                0.42872,                 1.2114,                 2.0003,                 1.5619,                 1.6559,             0.00096561,             0.00096561,             0.00096561
                     88,                0.53089,                 0.7599,                  0.533,                0.98237,                0.78407,                0.59091,                0.62791,                0.43988,                0.81473,                0.61364,                0.65643,                0.46299,                 1.1226,                 2.0066,                 1.3807,                 1.6455,             0.00095736,             0.00095736,             0.00095736
                     89,                0.51056,                0.72609,                0.52853,                0.95725,                0.87325,                0.59091,                0.65471,                0.46842,                 0.9086,                0.61364,                0.67741,                0.49023,                 1.0651,                 1.9747,                 1.3121,                 1.6171,             0.00094911,             0.00094911,             0.00094911
                     90,                0.51947,                0.80926,                0.53538,                0.96362,                0.94381,                0.63636,                0.69544,                0.49969,                0.96578,                0.65909,                0.69665,                0.50827,                 1.0515,                 2.0348,                 1.1616,                 1.6111,             0.00094085,             0.00094085,             0.00094085
                     91,                0.51032,                0.75418,                0.53492,                0.98143,                0.93088,                0.61219,                0.67207,                0.51187,                0.96549,                0.63579,                0.70325,                0.52055,                 1.0142,                 2.0645,                 1.1823,                 1.5758,              0.0009326,              0.0009326,              0.0009326
                     92,                0.49632,                0.68475,                0.53252,                0.96526,                0.96428,                0.61358,                0.68615,                0.51153,                0.98433,                0.54545,                0.65461,                0.50738,                 1.0375,                 2.1788,                 1.2413,                 1.5906,             0.00092435,             0.00092435,             0.00092435
                     93,                0.47601,                0.70508,                0.53537,                0.96225,                0.96413,                0.61094,                0.68225,                0.51538,                0.89264,                0.56692,                0.65208,                0.49626,                 1.0522,                 2.2435,                 1.2784,                  1.644,              0.0009161,              0.0009161,              0.0009161
                     94,                0.49841,                0.68878,                0.53729,                0.93876,                0.82002,                0.63636,                0.61674,                0.46706,                0.78931,                0.61364,                0.59196,                0.46477,                 1.0409,                 2.3003,                 1.2723,                 1.7291,             0.00090785,             0.00090785,             0.00090785
